2022-09-01 16:03:39.059  INFO [authorizationService,,] 230396 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Starting AuthorizationMicroserviceApplication using Java 17.0.1 on LTIN277606 with PID 230396 (C:\Users\2146236\Downloads\Practice\PensionManagementSystem-master\authorization-microservice\target\classes started by 2146236 in C:\Users\2146236\Downloads\Practice\PensionManagementSystem-master\authorization-microservice)
2022-09-01 16:03:39.611 DEBUG [authorizationService,,] 230396 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Running with Spring Boot v2.4.9, Spring v5.3.9
2022-09-01 16:03:39.613  INFO [authorizationService,,] 230396 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-09-01 16:03:40.126  INFO [authorizationService,,] 230396 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-09-01 16:03:40.127  INFO [authorizationService,,] 230396 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-09-01 16:03:48.009  INFO [authorizationService,,] 230396 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-09-01 16:03:48.617  INFO [authorizationService,,] 230396 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 514 ms. Found 1 JPA repository interfaces.
2022-09-01 16:03:51.762  INFO [authorizationService,,] 230396 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=528b1acf-83df-34cd-88dd-6d1010a2cef8
2022-09-01 16:04:00.048  INFO [authorizationService,,] 230396 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9090 (http)
2022-09-01 16:04:00.096  INFO [authorizationService,,] 230396 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-09-01 16:04:00.098  INFO [authorizationService,,] 230396 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
